NAME,POS,PARTY,DIST,TERM
"Darger, Stanford P.",Representative,Republican,"8, 1",1963-1972
"Darling, Ralph",Representative,Democrat,8,1945
"Dart, B. L.",Representative,,28,1929-1931
"Dastrup, Ephraim",Representative,,22,1913
"Dastrup, Lamar A.",Senator,Republican,17,1957-1959
"Davies, Steven A.",Representative,Republican,45,1987
"Davis, Gene",Representative,Democrat,30,1987-1998
"Davis, Gene",Senator,Democrat,3,1999-2019
"Davis, Glen E.",Representative,Democrat,11,1939
"Davis, Harold V.",Representative,Republican,8,1953-1955
"Davis, John N.",Representative,,12,1907-1909
"Davis, MayBelle T.",Representative,,8,1921
"Davis, Merrill K.",Representative,Republican,8,1947-1953
"Davis, Merrill K.",Senator,Republican,6,1955-1957
"Davis, Ted M.",Representative,Republican,"42, 39",1971-1980
"Davis, Thomas H.",Representative,,4,1901
"Daw, Brad M.",Representative,Republican,60,2015-2012
"Dawson, William A.",Senator,Republican,15,1941-1943
"Day, Elias L.",Senator,Republican,6,1947-1957
"Day, James H.",Representative,Republican,23,1967
"Day, Wilford",Representative,,24,"1911-1915, 1919-1921"
"Day, Wilford",Senator,Republican,11,1933-1935
"Dayton, Margaret",Representative,Republican,61,1997-2006
"Dayton, Margaret",Senator,Republican,15,2007-2018
"Dean, Ernest H.",Representative,Democrat,11,"1949, 1959-1963"
"Dean, Ernest H.",Senator,Democrat,"15, 14",1967-1978
"Dean, George S.",Representative,,4,1905-1907
"Decker, George W.",Representative,,24,1917
"Dee, Brad L.",Representative,Republican,11,2003-2016
"DeMann, Jack F.",Representative,Republican,36,1983-1988
"Dennis, Danniel S.",Representative,Republican,"60, 67",1967-1978
"Denny, Presley",Representative,,20,1896
"Dern, George H.",Senator,,6,1915-1921
"Dewey, C. J.",Representative,,1,1925-1927
"DeWitt, Reuben",Representative,,21,1917
"DiBella, S. L.",Representative,Democrat,40,1984
"DiCaro, Sophia M.",Representative,Republican,31,2015-2016
"Dickamore, Henry J.",Representative,Republican,15,1983-1988
"Dickson, Bert S.",Representative,Democrat,5,1961
"Dillman, Ray E.",Senator,,5,1929-1931
"Dillree, Marda",Representative,Republican,17,1993
"Dillree, Marda",Representative,Republican,17,1994-2004
"Dix, Thomas",Representative,Democrat,8,1939-1941
"Dixon, LeRoy",Senator,,7,1923-1927
"Dmitrich, Mike",Representative,Democrat,"55, 65, 70",1969-1992
"Dmitrich, Mike",Senator,Democrat,27,1992-2008
"Doane, Charles L.",Representative,Republican,5,1979-1982
"Done, Willard",Representative,,8,1903
"Donnelson, Glenn A.",Representative,Republican,7,2001-2008
"Dorius, C. R.",Representative,,14,1907-1909
"Dorman-Ligh, Wyllis",Representative,Democrat,9,1977-1978
"Dotson, William L. H.",Representative,,20,1897
"Doty, Charles B.",Representative,Democrat,4,"1933-1935, 1947-1949"
"Doty, L. C.",Representative,,13,1919
"Dougall, John",Representative,Republican,27,2003-2012
"Doughty, Brian",Representative,Democrat,30,2012
"Douglas, Royal J.",Representative,,4,1921
"Drake, Edward E.",Representative,Republican,64,1967
"Draxler, Jack R.",Representative,Republican,3,2007-2016
"Dresser, Norman B.",Representative,,7,1897
"Driscoll, James P.",Senator,,8,1896
"Duckworth, Carl W.",Representative,Democrat,22,1999-2008
"Duckworth, Susan",Representative,Democrat,22,2009-2019
"Duffin, James G.",Representative,,25,1897
"Duncan, Adam M.",Representative,Republican,8,1957-1959
"Dunn, Simeon A.",Representative,Republican,2,1951-1953
"Dunnigan, James A.",Representative,Republican,39,2003-2019
"Dunyon, Mrs. N. A.",Representative,,8,1923-1925
"Durham, A. M.",Representative,,20,1913
"Durham, Alfred M.",Representative,Democrat,8,1943-1949
"Durham, George H.",Representative,Democrat,8,1945
"Durham, Wayne C.",Representative,Republican,8,1953
"Durrant, S. Olani",Representative,Republican,33,1973-1974
"Duvall, Ralph W.",Representative,Democrat,8,1943
"Dyreng, P. P.",Representative,,14,"1907-1909, 1925"
"Eardley, Edward J.",Representative,,8,1909-1911
"Eastman, Dan R.",Senator,Republican,23,2001-2008
"Eastman, Frank G.",Representative,Democrat,7,1929-1933
"Eckersley, Joseph",Senator,,10,1913-1915
"Eddy, Wynn L.",Representative,,1,1917
"Edgheill, J. R.",Senator,,8,1913-1915
"Edman, Frank M.",Representative,Democrat,11,1933-1935
"Edward, William T.",Representative,,8,1905
"Edwards, Alma S.",Representative,Democrat,11,1977-1978
"Edwards, Rebecca P.",Representative,Republican,20,2009-2018
"Edwards, Stanley",Representative,,15,1931
"Egan, H. Fred",Senator,,3,1927-1929
"Egan, R. E.",Representative,,6,1896
"Ekman, J. A.",Representative,,8,1911
"Eldredge, James A.",Representative,,6,1907
"Elggren, Lorenzo E.",Senator,Democrat,6,1945-1951
"Eliason, Steve",Representative,Republican,45,2011-2019
"Ellertson, R. Lee",Representative,Republican,61,1983-1997
"Ellett, Arthur O.",Senator,Democrat,7,1939-1941
"Elliott, Robert L.",Representative,Democrat,11,1943
"Ellison, Morris H.",Representative,,6,1929
"Ellison, Peter K.",Representative,Republican,23,1973-1976
"Elswood, S. W.",Representative,Democrat,4,1939-1943
"Elswood, Sidney A.",Representative,Democrat,4,1949-1953
"Elwood, W. J.",Representative,,15,1913
"England, Thomas",Representative,,4,1909
"England, William C.",Representative,Democrat,2,1941
"Engle, W. A.",Representative,,15,1927
"Ennis, W. B.",Representative,,8,1915
"Epperson, W. P.",Representative,,6,1927
"Erekson, E. J.",Representative,Republican,11,1947
"Ericksen, Mrs. E. E.",Representative,Democrat,8,1933
"Ericksen, Mrs. E. E.",Senator,Democrat,6,1943-1945
"Erickson, Ferdinand",Representative,Republican,18,1957-1959
"Escamilla, Luz",Senator,Democrat,1,2015-2019
"Eskelsen, Ruel M.",Representative,Republican,53,1967-1970
"Esplin, Israel H.",Representative,,26,1929-1931
"Esplin, J. Donald",Representative,Republican,26,1953-1957
"Eubank, Sara O.",Representative,Democrat,41,1993-1994
"Evans, Abel J.",Senator,,7,1896-1901
"Evans, Beverly Ann",Representative,Republican,"55, 54",1987-1998
"Evans, Beverly Ann",Senator,Republican,26,1999-2006
"Evans, Edward P.",Representative,,9,1903
"Evans, Frank",Senator,,6,1915-1917
"Evans, James M.",Senator,Republican,1,2003-2004
"Evans, Mosiah",Representative,,11,1901
"Evans, Neal B.",Representative,Republican,"33, 57",1979-1984
"Evans, R. Mont",Representative,Republican,"44, 52",1987-1996
"Evans, R. Mont",Senator,Republican,5,1997-2001
"Evans, Richard V.",Representative,Democrat,8,1959-1965
"Evans, Richard V.",Senator,Democrat,2,1967-1972
"Evans, Robert J.",Senator,,7,1929
"Evans, W. Sterling",Representative,Republican,8,1957-1961
"Eynon, Francis P.",Representative,Democrat,8,1937
"Fadel, Shirl K.",Representative,Republican,6,1983-1984
"Fanning, Faye B.",Representative,Democrat,4,1961
"Farley, Frances",Senator,Democrat,1,"1977-1982, 1987-1990"
"Farnsworth, Franklin D.",Representative,,20,1911
"Farnsworth, Lee W.",Representative,Republican,37,1975-1982
"Farr, Aaron F.",Representative,,2,1899
"Farr, Dexter",Representative,Democrat,4,1935
"Farr, Dexter",Senator,Democrat,4,1937-1947
"Faust, James E.",Representative,Democrat,8,1949
"Fawson, Jay",Representative,Democrat,29,1987-1990
"Fawson, Justin L.",Representative,Republican,7,2015-2018
"Feltch, Francis",Representative,Republican,12,1947
"Fennell, Patrick J.",Senator,Democrat,13,1933-1935
"Ferguson, James X.",Representative,,15,1896
"Fergusson, Thomas",Representative,,8,1896
"Ferrin, James A.",Representative,Republican,58,2001-2006
"Ferry, Ben C.",Representative,Republican,2,1999-2010
"Ferry, Joel",Representative,Republican,1,2019
"Ferry, Miles Cap",Representative,Republican,1,1965
"Ferry, Miles Cap",Senator,Republican,"20, 24",1967-1984
"Ferry, W. Mont",Senator,,6,1913-1915
"Fife, Fred J.",Representative,Democrat,26,1999-2002
"Fife, Fred J.",Senator,Democrat,1,2005-2008
"Fillmore, Lincoln",Senator,Republican,10,2016-2019
"Findlay, A. D.",Representative,Republican,26,1965
"Findlay, Alex",Representative,,26,1925-1927
"Finlinson, Fred W.",Senator,Republican,8,1973-1992
"Finlinson, Joseph T.",Representative,,19,1919-1923
"Finlinson, Joseph T.",Senator,,8,1925-1927
"Fishburn, F. W.",Representative,,1,1903-1905
"Fisher, George A.",Representative,,10,1917
"Fisher, Janice M.",Representative,Democrat,"29, 30",2005-2014
"Fisher, John",Representative,,6,1899
"Fisher, Julie",Representative,Republican,17,2005-2011
"Fisher, M. Byron",Representative,Republican,14,1967-1976
"Fitch, J. Tom",Representative,,15,1915
"Flamm, Bryce C.",Senator,Republican,19,1981-1984
"Fletcher, R. R.",Representative,,9,"1923, 1927"
"Florence, Brian",Representative,Democrat,31,1969-1972
"Florez, Bobby",Representative,Democrat,"6, 25",1981-1986
"Florez, Rey",Representative,Democrat,6,1979-1980
"Foley, Joseph C.",Representative,Democrat,4,1959
"Folkman, George D.",Representative,,4,1915
"Foote, Dale G.",Representative,Republican,8,1947
"Foote, T. Earl",Representative,Democrat,11,"1939-1941, 1945"
"Fordham, Paul T.",Senator,Democrat,11,1987-1994
"Forman, Albert W.",Representative,,8,1899
"Forsberg, Mrs. Charles E.",Representative,Republican,8,1947
"Forshee, James E.",Representative,,21,1897
"Fowler, Ben E.",Representative,Republican,36,1967-1970
"Fowles, J. Francis",Representative,,4,1925
"Fowles, J. Francis",Senator,,4,"1929-1935, 1947-1961"
"Fowles, Joseph H.",Representative,,4,1915
"Fowlke, Lorie D.",Representative,Republican,59,2005-2010
"Fox, Christine R.",Representative,Republican,"57, 56",1988-1997
"Fox, Jeff",Representative,Democrat,3,1977-1982
"Fox, Merrill C.",Representative,Republican,57,1985-1987
"Fox-Finlinson, Christine R.",Representative,Republican,56,1998
"Foxley, G. Melvin",Representative,Republican,1,1961
"Frandsen, B. L.",Representative,Democrat,15,"1941, 1953"
"Frandsen, Lloyd W.",Representative,Republican,"73, 45, 50","1975-1978, 1983-1986, 1988-1992, 1995-2001"
"Frank, Craig A.",Representative,Republican,57,"2004-2010, 2012"
"Free, Ray D.",Representative,Republican,"20, 35","1979-1982, 1985-1988"
"Freer, C. E.",Representative,Democrat,19,1945
"Frischknecht, Conrad",Representative,Democrat,14,1933
"Frischknecht, Conrad",Senator,Democrat,9,1935-1937
"Froerer, Fredrick",Representative,Republican,4,"1953, 1957"
"Froerer, Gage",Representative,Republican,8,2007-2018
"Frost, C. Alfred",Representative,Republican,"27, 66",1965-1972
"Frost, Daniel S.",Representative,Republican,26,1943-1947
"Frost, George T.",Representative,Democrat,4,1951
"Fry, Richard R.",Representative,,5,1901
"Fry, Richard T.",Representative,,5,1929
"Fugal, Niels",Representative,,11,1929-1931
"Fuller, George A.",Representative,,4,"1907-1909, 1929-1931"
"Fuller, Haynes R.",Representative,Democrat,8,1987-1994
"Fuller, Perry B.",Senator,,8,1921-1923
"Fuller, Perry B.",Representative,,13,1925
"Fullmer, Dwight L.",Representative,Republican,21,"1953, 1959"
"Fullmer, John H.",Representative,,21,1899
"Fullmer, Ronald K.",Representative,Republican,38,1983-1986
"Funk, Clarence L.",Representative,,2,1909-1911
"Funk, Clarence L.",Senator,,2,1923-1925
"Funk, James W.",Senator,,2,1911-1919
"Galvez, Brad J.",Representative,Republican,6,2011-2012
"Gammell, Reed",Representative,Republican,4,1951
"Gammeter, Emil",Representative,Republican,27,1933-1935
"Garbett, Bryson",Representative,Republican,50,1983-1986
"Gardiner, Adam",Representative,Republican,43,2017
"Gardner, Archie O.",Representative,Republican,19,1951-1957
"Gardner, Charles C.",Representative,Democrat,6,1951
"Gardner, Erastus S.",Representative,Democrat,25,1943-1947
"Gardner, Hamilton",Representative,,8,1925
"Gardner, Hamilton",Senator,,6,1927-1929
"Gardner, Henry",Representative,,11,1901
"Gardner, Henry",Senator,,7,1903-1913
"Gardner, James H.",Representative,,11,1925
"Gardner, Kenneth W.",Representative,,"6, 49","1957-1961, 1971-1972"
"Gardner, Kumen S.",Representative,Democrat,24,1959-1961
"Gardner, Wallace H.",Senator,Republican,"7, 17",1963-1972
"Gardner, Willard Hale",Representative,Republican,"38, 63",1973-1984
"Garff, Robert H.",Representative,Republican,"57, 20",1979-1986
"Garff, Royal B.",Representative,Democrat,8,1939-1941
"Garff, Thelma",Representative,Democrat,8,1937-1939
"Garfield, Rulon R.",Senator,Republican,13,1970
"Garn, Kevin S.",Representative,Republican,16,"1991-2002, 2007-2010"
"Garr, John M.",Representative,Democrat,"56, 70","1971-1972, 1975-1982, 1992"
"Gates, L. Keith",Representative,Republican,4,1985-1986
"Gibbons, Hyrum",Senator,Republican,2,1947-1949
"Gibbs, William H.",Representative,,1,1896
"Gibson, Francis D.",Representative,Republican,65,2009-2019
"Gibson, Kerry W.",Representative,Republican,6,2005-2010
"Gibson, Marl D.",Senator,Democrat,14,1949-1959
"Gibson, Mrs. D. C.",Representative,Democrat,15,1935
"Gibson, William",Representative,,12,1896-1897
"Giles, John T.",Representative,,10,1907
"Gillett, John J.",Representative,,7,1927
"Gillman, Harley M.",Representative,Republican,38,1967
"Glade, Earl J.",Representative,Democrat,8,1959
"Gladwell, David L.",Representative,Republican,7,1997-2000
"Gladwell, David L.",Senator,Republican,19,2001-2004
"Glasmann, William",Representative,,4,1901
"Goggin, Patrick H.",Representative,,8,"1923-1927, 1931"
"Goodfellow, Brent H.",Representative,Democrat,"53, 29",1985-2005
"Goodfellow, Brent H.",Senator,Democrat,12,2005-2010
"Goodwin, George F.",Representative,,8,1915
"Gordon, Robert B.",Representative,Republican,8,1957
"Gould, Calvin",Representative,Democrat,29,1969-1970
"Gowans, James R.",Representative,Democrat,21,1993-2010
"Graham, Mrs. Arthur E.",Representative,,8,1923-1925
"Granger, Walter K.",Representative,Democrat,24,1933-1937
"Green, D. B.",Representative,Democrat,1,"1959, 1963-1965"
"Greene, Brian M.",Representative,Republican,57,2013-2018
"Greenhagen, Chris",Representative,Democrat,8,"1929, 1933"
"Greensides, Ronald J.",Representative,Democrat,"29, 27",1991-1994
"Greenwood, Alma",Representative,,11,1917-1919
"Greenwood, Barnard H.",Representative,,18,1897-1899
"Greenwood, Orren J.",Senator,Republican,9,1967-1970
"Greenwood, Ray P.",Representative,Democrat,8,1943-1947
"Greenwood, Richard A.",Representative,Republican,12,2008-2014
"Greiner, Jon J.",Senator,Republican,18,2007-2010
"Griffin, Nathella K.",Representative,Democrat,23,1957
"Griffin, William H.",Representative,,2,1915
"Griffin, William H.",Senator,,2,1927-1937
"Gronning, Carlyle F.",Senator,Democrat,8,1955-1957
"Grossenbach, Walter F.",Representative,Democrat,4,1933
"Grotegut, William",Representative,Democrat,11,1943
"Grover, Keith",Representative,Republican,61,2007-2018
"Grover, Keith",Senator,Republican,15,2019
"Grover, Wendell",Senator,Democrat,6,1937-1941
"Grover, Wendell",Representative,Democrat,8,1953-1955
 ,Senator,Democrat,6,1961-1965
"Grow, Sylvester V.",Representative,,4,1911
"Grundfossen, Peter D.",Representative,Democrat,4,1971-1972
"Gubler, Darlene",Representative,Republican,41,1995-1997
"Gundry, William N.",Representative,,7,1905
"Gunnell, Franklin W.",Representative,Republican,"2, 50",1959-1970
"Gunnell, LeGrande B.",Representative,Republican,2,1961
"Gunther, Orville",Representative,Republican,11,1953-1957
"Gygi, George L.",Representative,Democrat,"26, 30, 49","1971-1974, 1983-1984"
"Hacking, James C.",Representative,,12,1927-1931
"Haddow, C. McClain",Representative,Republican,25,1981-1982
"Hadley, Percy W.",Representative,Democrat,4,1937
"Hafen, Orval",Senator,Republican,"11, 18",1953-1963
"Hainsworth, N. E.",Representative,Democrat,8,1941
"Hale, Don C.",Representative,Democrat,8,"1943, 1947"
"Hale, Karen",Senator,,7,1999-2006
"Hale, P. W.",Representative,Democrat,8,1937
"Hales, Janette C.",Representative,Republican,63,1989-1990
"Hall, Craig",Representative,Republican,33,2013-2019
"Hall, Francis E.",Representative,,7,1901
"Hall, Jesse",Representative,Democrat,11,1933-1935
"Hall, Parley G.",Representative,Republican,2,1955
"Hall, William W.",Representative,,2,1903
"Halladay, F. Chileon",Representative,Democrat,"7, 57","1961-1963, 1967, 1970-1971"
"Halladay, R. Sterling",Representative,Democrat,7,1943-1945
"Halpin, Jack",Representative,Democrat,15,1963
"Halverson, Dionne P.",Representative,Democrat,10,1989-1991
"Halverson, Ronald T.",Representative,Republican,"30, 43",1967-1978
"Halverson, Ronald T.",Senator,Republican,18,1979-1982
"Hamer, Daniel",Senator,,4,1897
"Hamilton, Elmo W.",Representative,Democrat,8,1963-1965
"Hamlin, Albert L.",Representative,,8,1901-1903
"Hammon, D. J.",Representative,,4,1927
"Hammond, C. A.",Representative,,17,1921
"Hammond, D. E.",Senator,Republican,6,1953-1963
"Hammond, F. B.",Representative,,17,"1909, 1913-1917"
"Hammond, W. D.",Representative,Democrat,17,1927-1933
"Hammond, W. D.",Senator,Democrat,12,1935
"Handy, Stephen G.",Representative,Republican,16,2011-2019
"Hansen, A. W.",Representative,,1,1925-1927
"Hansen, Andrew J.",Representative,,23,1897
"Hansen, C. P.",Representative,,8,1929
"Hansen, Darwin C.",Representative,Republican,55,1973-1974
"Hansen, James V.",Representative,Republican,54,1973-1980
"Hansen, John E.",Representative,,8,1899
"Hansen, Morris",Representative,Republican,"51, 14",1981-1984
"Hansen, Neil A.",Representative,Democrat,9,1999-2010
"Hansen, Nephi J.",Representative,,8,1923-1925
"Hansen, Russell H.",Representative,Republican,11,1963
"Hansen, Willard S.",Representative,,1,1907-1909
"Hansen, Willard S.",Senator,,1,1913-1915
"Hansen, Willis L.",Representative,Republican,"53, 61",1971-1976
"Hanson, John",Representative,,8,1919
"Hanson, Lee K.",Representative,Democrat,36,1971-1972
"Harbour, Benjamin A.",Senator,,6,1897
"Harding, Ray M.",Representative,Republican,"8, 15",1963-1967
"Hardy, Aaron",Representative,,14,1897
"Hardy, Ann W.",Representative,Republican,20,2003-2006
"Hardy, Thomas C.",Representative,Democrat,8,1965
"Harmer, Sherman D.",Representative,Republican,21,1973-1982
"Harmon, Levi N.",Representative,,16,1901
"Harmston, Gordon E.",Senator,Democrat,5,1963-1965
"Harper, Wayne A.",Representative,Republican,43,1997-2012
"Harper, Wayne A.",Senator,Republican,6,2013-2019
"Harris, Charles Z.",Representative,,2,1899
"Harris, D. D.",Representative,,6,1921
"Harris, Minnie V.",Representative,Democrat,8,1933
"Harris, Nathan J.",Representative,,4,"1896, 1899"
"Harris, Robert",Representative,Democrat,44,1977-1978
"Harrison, Orval C.",Representative,Republican,"8, 28",1977-1984
"Harrison, Suzanne",Representative,Democrat,32,2019
"Harshberger, B. D.",Representative,,27,1911
"Hartmann, H. M.",Representative,,7,1925
"Harvey, David C.",Representative,Democrat,"11, 38, 34","1965, 1969-1978"
"Harward, Byron L.",Representative,Republican,64,1987-1998
"Harward, Kendrick",Senator,Republican,"17, 28",1965-1972
"Harward, Merrill W.",Representative,Republican,23,1977-1982
"Harward, Royal T.",Senator,Republican,10,1957-1959
"Harward, Royal T.",Representative,Republican,"22, 67","1961-1963, 1967-1970"
"Haslam, James N.",Representative,,8,1903
"Hatch, Adrian W.",Representative,Democrat,2,1943-1945
"Hatch, Glen M.",Senator,Democrat,5,1957-1959
"Hatch, M. V.",Representative,Republican,23,1945-1947
"Hatch, O. P.",Representative,,6,1901
"Hatch, Thomas V.",Representative,Republican,73,1995-2002
"Hatch, Thomas V.",Senator,Republican,28,2003-2006
"Hawkes, Timothy D.",Representative,Republican,18,2015-2019
"Hawkes, William E.",Representative,Republican,27,1979-1980
"Hawkins, Jon",Representative,Republican,57,2019
"Hawley, Asa R.",Representative,,18,"1903-1905, 1915"
"Hawley, C. W.",Representative,,18,1925
"Haycock, A. F.",Representative,,21,1909
"Hayes, William L.",Representative,,11,1909-1911
"Haymond, J. Brent",Representative,Republican,65,1991-1999
"Hayward, Elizabeth A.",Representative,,8,1915-1917
"Hayward, Elizabeth A.",Senator,,6,1919-1921
"Heaton, Ken L.",Representative,Republican,51,1985-1986
"Hebertson, Thorit C.",Representative,Democrat,11,"1955, 1959-1961"
"Hecker, Charles M.",Representative,,8,1917
"Heiner, Daniel",Representative,,5,1896
"Hellewell, Parley G.",Senator,Republican,15,1999-2006
"Hemingway, Lynn N.",Representative,Democrat,40,"2007-2014, 2016-2018"
"Hemmert, Daniel",Senator,Republican,14,2017-2019
"Henderson, Deidre M.",Senator,Republican,7,2013-2019
"Henderson, Robert J.",Representative,Democrat,15,1951-1955
"Henderson, W. J.",Representative,Republican,23,"1921, 1933"
"Hendricks, Brigham A.",Representative,,2,1907
"Hendricks, George G.",Representative,Democrat,2,1935
"Hendrickson, Neal B.",Representative,Democrat,"51, 33",1991-2012
"Henrie, John N.",Representative,,23,1907-1913
"Heppler, J. E.",Representative,,18,1917-1919
"Herrod, Christopher N.",Representative,Republican,62,2007-2012
"Heslop, Marvin S.",Representative,Democrat,"46, 8","1979-1980, 1983-1984"
"Hewlett, Orson H.",Representative,,8,1901
"Hickman, John W.",Representative,Republican,75,1993-2000
"Hickman, John W.",Senator,Republican,29,2001-2008
"Hickman, Joseph",Representative,,22,1925
"Hill, J. Dean",Representative,Republican,"6, 46",1965-1972
"Hill, Robert S.",Representative,Democrat,8,1945
"Hillyard, Lyle W.",Representative,Republican,"58, 4",1981-1984
"Hillyard, Lyle W.",Senator,Republican,25,1985-2019
"Hilton, Lynn M.",Representative,Republican,4,1973-1974
"Hinckley, Alonzo A.",Representative,,19,1915
"Hinckley, Parnell",Representative,Democrat,8,1939-1941
"Hinckley, Robert H.",Representative,,14,1919
"Hines, Frank L.",Representative,,8,1911
"Hinkins, David P.",Senator,Republican,27,2009-2019
"Hinton, Harvard R.",Senator,Democrat,7,1959-1961
"Hinton, Wayne",Representative,Democrat,25,1949-1951
"Hintze, Hugh J.",Representative,Republican,8,1943
"Hirschi, Claud",Senator,Republican,11,1941-1947
"Hirschi, David",Senator,,11,1923-1925
"Hirschi, David",Representative,,25,1929-1931
"Hodges, Joseph",Representative,,3,1909
"Hodgkinson, Reed",Representative,Republican,29,1967
"Hodgson, Allen L.",Representative,Democrat,11,"1955-1959, 1963"
"Hodgson, Oliver",Representative,,8,1929
"Hoffman, A. Alton",Representative,Republican,"51, 59",1972-1976
"Hogue, David L.",Representative,Republican,52,1997-2006
"Hokanson, Elgin S.",Representative,Democrat,24,1973-1978
"Holbrook, Moses L.",Representative,Democrat,6,1933-1937
"Holbrook, Stephen",Representative,Democrat,2,1975-1980
"Holbrook, Ward C.",Representative,,6,1931
"Holbrook, Ward C.",Senator,Democrat,15,"1933-1937, 1945-1947"
"Holdaway, Elmer",Representative,Democrat,11,1933-1935
"Holdaway, Kory M.",Representative,Republican,34,1999-2009
"Holladay, Bryan D.",Representative,Republican,47,1995-2001
"Holladay, F. Chileon",Representative,Democrat,"7, 57","1965, 1969"
"Hollenbeck, L. A.",Representative,,28,1923
"Holley, John",Representative,Democrat,8,"1929, 1933-1935"
"Holliday, J. M.",Representative,,11,1923
"Hollingshaus, John",Representative,Republican,"13, 30","1979-1982, 1985-1986"
"Hollingsworth, C. R.",Senator,,4,"1905-1907, 1927-1929"
"Hollins, Sandra",Representative,Democrat,23,2015-2019
"Holman, Theodore L.",Representative,,8,1909-1911
"Holman, Vernon L.",Senator,Democrat,10,1961-1965
"Holmes, Douglas J.",Representative,Republican,11,1989-1990
"Holmes, J. E.",Representative,,15,1919
"Holmes, Will R.",Representative,Democrat,1,1935
"Holmes, Will R.",Senator,Democrat,1,1937-1939
"Holmgren, Albert E.",Senator,Republican,1,1933-1935
"Holmgren, John P.",Representative,,1,1899-1901
"Holmgren, John P.",Senator,Republican,24,1985-1999
"Holt, Joseph M.",Representative,,8,1909
"Holt, Kenneth O.",Representative,Republican,49,1967-1970
"Holt, Scott W.",Representative,Republican,14,1985-1990
"Holt, W. John",Representative,Democrat,8,1943
"Holt, William S.",Representative,Republican,51,1973-1976
"Holther, David K.",Representative,Republican,4,1947
"Holther, Louis J.",Representative,,4,1927-1929
"Holzheimer, Frank",Representative,,13,1901
"Homer, Ephraim",Representative,,11,1901
"Hone, George A.",Representative,,11,1905-1907
"Hooper, John D.",Representative,,4,1913
"Hopes, Herbert",Representative,,13,1905
"Hopkin, Alonzo F.",Representative,Democrat,5,1933
"Hopkin, Alonzo F.",Senator,Democrat,3,1935-1961
"Hopkin, James S.",Representative,,5,1917
"Hopkin, John",Representative,,5,1897
"Hopkins, Clair R.",Representative,Republican,12,1951-1957
"Horne, Alice M.",Representative,,8,1899
"Horsley, William C.",Senator,,1,1909-1911
"Horsley, William C.",Representative,,1,"1915, 1931"
"Hott, Robert P.",Representative,,27,1907
"Houston, W. Wallace",Senator,Republican,10,1945-1947
"Howard, Byron A.",Senator,Democrat,12,1939-1941
"Howard, William",Representative,,16,1896
"Howe, Richard C.",Representative,Democrat,"8, 19","1951-1957, 1969-1972"
"Howe, Richard C.",Senator,Democrat,4,1973-1978
"Howell, Joseph",Senator,,2,1899-1901
"Howell, Luther M.",Representative,,2,1921
"Howell, Scott N.",Senator,Democrat,"4, 8",1991-2001
"Hoyt, Will L.",Representative,Democrat,13,1931-1933
"Huggins, Ira A.",Senator,Democrat,4,1931-1945
"Hughes, Gregory H.",Representative,Republican,51,2003-2018
"Hulaniski, E. T.",Senator,,4,1907-1909
"Hull, Joseph L.",Representative,Democrat,13,1987-1992
"Hull, Joseph L.",Senator,Democrat,20,1993-2001
"Hull, Thomas",Representative,,8,1903-1905
"Humberstone, Bruce E.",Representative,Republican,16,1977-1980
"Hummer, L. F.",Representative,Democrat,8,1935-1937
"Humphrey, Isaac B.",Representative,Democrat,8,"1965, 1971-1972"
"Humphrey, Wilford J.",Representative,,16,1947
"Hunsaker, Fred R",Representative,Republican,4,"1991-1997, 2005-2010"
"Hunt, Douglas I.",Representative,Democrat,50,1975-1976
"Hunt, Paul H.",Representative,,10,1925
"Hunt, Paul H.",Senator,,3,1931-1933
"Hunter, Charles R.",Representative,Republican,24,1939
"Hunter, Charles R.",Senator,Republican,11,1957-1963
"Hunter, J. Reese",Representative,Republican,"18, 35, 40","1967, 1989-1997"
"Hunter, R. Haze",Representative,Republican,"74, 72",1981-1992
"Hurst, George A.",Representative,Republican,27,"1949-1951, 1955-1957"
"Hutchings, Eric K.",Representative,Republican,38,2002-2019
"Hyde, J. A.",Senator,,8,1909-1911
"Hyer, Saul E.",Representative,,2,1931
"Imlay, J. Wilson",Representative,,25,1921
"Ingleby, William",Representative,Democrat,8,1937-1949
Citizen Initiative,Representative,,99,2018
"Inkley, Ronald W.",Representative,Republican,32,1967-1970
"Ipson, Don L.",Representative,Republican,75,2009-2016
"Ipson, Don L.",Senator,Republican,29,2017-2019
"Ipson, Parley",Representative,Republican,23,1955
"Irvine, A. B.",Senator,,6,1923-1929
"Irvine, David R.",Representative,Republican,56,1973-1979
"Ivers, James",Representative,,"9, 8","1899, 1921"
"Ivers, Leland W.",Representative,Democrat,10,1955-1959
"Iverson, Dennis H.",Representative,Republican,74,1996-2001
"Iverson, G. A.",Senator,,12,1911-1913
"Iverson, N. E.",Representative,,1,1921-1923
"Ivory, Ken",Representative,Republican,47,2011-2019
"Iwamoto, Jani",Senator,Democrat,4,2015-2019
"Jack, Nellie",Representative,Democrat,8,"1939-1949, 1953"
"Jack, Nellie",Senator,Democrat,6,1957
 ,Representative,Democrat,"10, 6",1967-1974
"Jackson, Alvin B.",Senator,Republican,14,2014-2016
"Jackson, Charles M.",Representative,,8,1899
"Jackson, Joseph J.",Representative,,11,1907
"Jacob, Maude B.",Representative,Democrat,11,1937-1941
"Jacobs, Murray K.",Representative,,4,"1919, 1923-1925"
"Jacobsen, Theodore C.",Representative,Republican,8,1953
"James, Arlo D.",Representative,Democrat,"27, 48, 38","1977-1978, 1983-1994"
